payment_id,order_id,payment_method,payment_status,amount,payment_date
1,1,UPI,Paid,45000.00,"2026-05-23 18:03:09"
2,2,"Credit Card",Paid,79999.00,"2026-05-23 18:03:09"
3,3,"Debit Card",Paid,95000.00,"2026-05-23 18:03:09"
4,4,COD,Pending,999.00,"2026-05-23 18:03:09"
5,5,UPI,Paid,2999.00,"2026-05-23 18:03:09"
6,6,"Net Banking",Refunded,799.00,"2026-05-23 18:03:09"
7,7,"Credit Card",Paid,5999.00,"2026-05-23 18:03:09"
8,8,UPI,Paid,499.00,"2026-05-23 18:03:09"
9,9,"Debit Card",Paid,2499.00,"2026-05-23 18:03:09"
10,10,COD,Pending,1299.00,"2026-05-23 18:03:09"
11,11,UPI,Paid,25000.00,"2026-05-23 18:03:09"
12,12,"Credit Card",Paid,32000.00,"2026-05-23 18:03:09"
13,13,"Net Banking",Pending,3499.00,"2026-05-23 18:03:09"
14,14,"Debit Card",Paid,55000.00,"2026-05-23 18:03:09"
15,15,UPI,Paid,699.00,"2026-05-23 18:03:09"
16,16,COD,Paid,399.00,"2026-05-23 18:03:09"
17,17,"Credit Card",Pending,1499.00,"2026-05-23 18:03:09"
18,18,UPI,Paid,899.00,"2026-05-23 18:03:09"
19,19,"Debit Card",Paid,299.00,"2026-05-23 18:03:09"
20,20,COD,Paid,399.00,"2026-05-23 18:03:09"
21,21,UPI,Paid,2999.00,"2026-05-23 18:03:09"
22,22,"Credit Card",Pending,65000.00,"2026-05-23 18:03:09"
23,23,"Net Banking",Paid,3999.00,"2026-05-23 18:03:09"
24,24,"Debit Card",Paid,999.00,"2026-05-23 18:03:09"
25,25,UPI,Paid,7999.00,"2026-05-23 18:03:09"
26,26,COD,Pending,2499.00,"2026-05-23 18:03:09"
27,27,"Credit Card",Paid,6999.00,"2026-05-23 18:03:09"
28,28,"Debit Card",Paid,3499.00,"2026-05-23 18:03:09"
29,29,UPI,Paid,1999.00,"2026-05-23 18:03:09"
30,30,"Net Banking",Pending,7999.00,"2026-05-23 18:03:09"
31,31,"Credit Card",Paid,1499.00,"2026-05-23 18:03:09"
32,32,UPI,Paid,2999.00,"2026-05-23 18:03:09"
33,33,"Debit Card",Paid,899.00,"2026-05-23 18:03:09"
34,34,COD,Pending,4599.00,"2026-05-23 18:03:09"
35,35,UPI,Paid,599.00,"2026-05-23 18:03:09"
36,36,"Credit Card",Paid,2499.00,"2026-05-23 18:03:09"
37,37,"Net Banking",Pending,1499.00,"2026-05-23 18:03:09"
38,38,"Debit Card",Paid,499.00,"2026-05-23 18:03:09"
39,39,UPI,Paid,2999.00,"2026-05-23 18:03:09"
40,40,"Credit Card",Paid,1999.00,"2026-05-23 18:03:09"
